土地區段位置或建物區門牌,lng,lat,cluster
臺北市文山區中崙路1號,121.5647,24.98288,1
臺北市文山區溪洲街61巷1號,121.536,25.00595,2
臺北市士林區中山北路七段114巷1號,121.5322,25.1222,1
臺北市大安區永康街1號,121.53,25.03333,3
臺北市大安區忠孝東路四段216巷40弄1號,121.5527,25.03949,3
臺北市文山區保儀路77巷1號,121.5659,24.98387,4
臺北市大安區光復南路91號,121.5577,25.0436,3
臺北市大安區光復南路308巷1號,121.556,25.03884,3
臺北市信義區永吉路443巷13弄1號,121.5784,25.04715,3
臺北市大安區敦化南路一段161巷31號,121.5506,25.04362,3
臺北市大安區大安路一段31巷1號,121.5464,25.04414,3
臺北市大安區延吉街151號,121.5546,25.04108,3
臺北市信義區光復南路421巷2弄1號,121.5583,25.0361,3
臺北市信義區永吉路443巷9弄1號,121.5792,25.04662,3
臺北市大安區樂利路11巷1號,121.5512,25.02825,3
臺北市大安區師大路59巷1號,121.5287,25.02402,3
臺北市士林區基河路91號,121.5249,25.08664,1
臺北市大安區忠孝東路三段151號,121.5383,25.04176,3
臺北市大安區麗水街1號,121.5291,25.03259,3
臺北市大安區光復南路280巷1號,121.5555,25.0399,3
臺北市信義區永吉路459巷5弄1號,121.5789,25.04604,3
臺北市內湖區康寧樂三段1號,121.6127,25.07298,1
臺北市北投區大興街61號,121.5005,25.13068,4
臺北市信義區永吉路30巷91號,121.5689,25.0438,3
臺北市大安區敦化南路二段121號,121.549,25.02692,3
臺北市大安區光復南路280巷31號,121.556,25.03978,3
臺北市信義區崇德街60巷1號,121.5547,25.02396,1
臺北市信義區永吉路443巷5弄1號,121.5784,25.04625,3
臺北市信義區嘉興街271號,121.5558,25.02454,1
臺北市大安區建國南路二段79巷1號,121.5383,25.03095,1
臺北市松山區光復南路45巷1號,121.5581,25.04616,3
臺北市大安區忠孝東路四段216巷31號,121.5531,25.0396,3
臺北市中山區北安路601號,121.5487,25.08227,1
臺北市大安區延吉街61號,121.5538,25.04483,3
臺北市大安區忠孝東路四段181巷10弄1號,121.5441,25.0419,3
臺北市大安區永康街4巷1號,121.5296,25.03297,3
臺北市大安區安和路一段91號,121.5527,25.03616,3
臺北市大安區仁愛路四段345巷4弄1號,121.5539,25.03905,3
臺北市大安區建國南路二段11巷1號,121.5383,25.03295,1
臺北市信義區永吉路443巷3弄1號,121.5784,25.04605,3
臺北市中山區松江路188巷1號,121.5325,25.0569,3
